//EBCDIC 汉字
//-------------------
8141     <丂>    
8142     <丄>    
8143     <丅>    
8144     <丆>    
8145     <丏>    
8146     <丒>    
8147     <丗>    
8148     <丟>    
8149     <丠>    
814A     <両>    
814B     <丣>    
814C     <並>    
814D     <丩>    
814E     <丮>    
814F     <丯>    
8150     <丱>    
8151     <丳>    
8152     <丵>    
8153     <丷>    
8154     <丼>    
8155     <乀>    
8156     <乁>    
8157     <乂>    
8158     <乄>    
8159     <乆>    
815A     <乊>    
815B     <乑>    
815C     <乕>    
815D     <乗>    
815E     <乚>    
815F     <乛>    
8160     <乢>    
8161     <乣>    
8162     <乤>    
8163     <乥>    
8164     <乧>    
8165     <乨>    
8166     <乪>    
8167     <乫>    
8168     <乬>    
8169     <乭>    
816A     <乮>    
816B     <乯>    
816C     <乲>    
816D     <乴>    
816E     <乵>    
816F     <乶>    
8170     <乷>    
8171     <乸>    
8172     <乹>    
8173     <乺>    
8174     <乻>    
8175     <乼>    
8176     <乽>    
8177     <乿>    
8178     <亀>    
8179     <亁>    
817A     <亂>    
817B     <亃>    
817C     <亄>    
817D     <亅>    
817E     <亇>    
817F     <亊>    
8181     <亐>    
8182     <亖>    
8183     <亗>    
8184     <亙>    
8185     <亜>    
8186     <亝>    
8187     <亞>    
8188     <亣>    
8189     <亪>    
818A     <亯>    
818B     <亰>    
818C     <亱>    
818D     <亴>    
818E     <亶>    
818F     <亷>    
8190     <亸>    
8191     <亹>    
8192     <亼>    
8193     <亽>    
8194     <亾>    
8195     <仈>    
8196     <仌>    
8197     <仏>    
8198     <仐>    
8199     <仒>    
819A     <仚>    
819B     <仛>    
819C     <仜>    
819D     <仠>    
819E     <仢>    
819F     <仦>    
81A0     <仧>    
81A1     <仩>    
81A2     <仭>    
81A3     <仮>    
81A4     <仯>    
81A5     <仱>    
81A6     <仴>    
81A7     <仸>    
81A8     <仹>    
81A9     <仺>    
81AA     <仼>    
81AB     <仾>    
81AC     <伀>    
81AD     <伂>    
81AE     <伃>    
81AF     <伄>    
81B0     <伅>    
81B1     <伆>    
81B2     <伇>    
81B3     <伈>    
81B4     <伋>    
81B5     <伌>    
81B6     <伒>    
81B7     <伓>    
81B8     <伔>    
81B9     <伕>    
81BA     <伖>    
81BB     <伜>    
81BC     <伝>    
81BD     <伡>    
81BE     <伣>    
81BF     <伨>    
81C0     <伩>    
81C1     <伬>    
81C2     <伭>    
81C3     <伮>    
81C4     <伱>    
81C5     <伳>    
81C6     <伵>    
81C7     <伷>    
81C8     <伹>    
81C9     <伻>    
81CA     <伾>    
81CB     <伿>    
81CC     <佀>    
81CD     <佁>    
81CE     <佂>    
81CF     <佄>    
81D0     <佅>    
81D1     <佇>    
81D2     <佈>    
81D3     <佉>    
81D4     <佊>    
81D5     <佋>    
81D6     <佌>    
81D7     <佒>    
81D8     <佔>    
81D9     <佖>    
81DA     <佡>    
81DB     <佢>    
81DC     <佦>    
81DD     <佨>    
81DE     <佪>    
81DF     <佫>    
81E0     <佭>    
81E1     <佮>    
81E2     <佱>    
81E3     <佲>    
81E4     <併>    
81E5     <佷>    
81E6     <佸>    
81E7     <佹>    
81E8     <佺>    
81E9     <佽>    
81EA     <侀>    
81EB     <侁>    
81EC     <侂>    
81ED     <侅>    
81EE     <來>    
81EF     <侇>    
81F0     <侊>    
81F1     <侌>    
81F2     <侎>    
81F3     <侐>    
81F4     <侒>    
81F5     <侓>    
81F6     <侕>    
81F7     <侖>    
81F8     <侘>    
81F9     <侙>    
81FA     <侚>    
81FB     <侜>    
81FC     <侞>    
81FD     <侟>    
8241     <価>    
8242     <侢>    
8243     <侤>    
8244     <侫>    
8245     <侭>    
8246     <侰>    
8247     <侱>    
8248     <侲>    
8249     <侳>    
824A     <侴>    
824B     <侶>    
824C     <侷>    
824D     <侸>    
824E     <侹>    
824F     <侺>    
8250     <侻>    
8251     <侼>    
8252     <侽>    
8253     <侾>    
8254     <俀>    
8255     <俁>    
8256     <係>    
8257     <俆>    
8258     <俇>    
8259     <俈>    
825A     <俉>    
825B     <俋>    
825C     <俌>    
825D     <俍>    
825E     <俒>    
825F     <俓>    
8260     <俔>    
8261     <俕>    
8262     <俖>    
8263     <俙>    
8264     <俛>    
8265     <俠>    
8266     <俢>    
8267     <俤>    
8268     <俥>    
8269     <俧>    
826A     <俫>    
826B     <俬>    
826C     <俰>    
826D     <俲>    
826E     <俴>    
826F     <俵>    
